Name,Rating,Country,Category,Price,ABV,Age,Brand,Rating_impute,Price_impute,ABV_impute,Age_impute
Isle of Jura 21 Year Old Single Malt Scotch,94.0,Scotland,Islands,67.7032967032967,44.0,21.0,Isle of Jura,0.0,1.0,0.0,0.0
Royal Salute 21 Year Old Scotch,94.0,Scotland,Speyside,175.0,40.0,21.0,Royal Salute,0.0,0.0,0.0,0.0
Ardbeg Airigh Nam Beist Scotch,94.0,Scotland,Islay,115.0,46.0,16.0,Ardbeg,0.0,0.0,0.0,0.0
Aberfeldy 21 Year Old Single Malt Scotch,94.0,Scotland,Highlands,150.0,40.0,21.0,Aberfeldy,0.0,0.0,0.0,0.0
Talisker 1992 Single Malt Scotch,94.0,Scotland,Islands,68.0,45.82,12.0,Talisker,0.0,0.0,0.0,0.0
Highland Park 18 Scotch,94.0,Scotland,Islands,80.0,43.0,18.0,Highland Park,0.0,0.0,0.0,0.0
Bowmore 25 Year Old Scotch,94.0,Scotland,Islay,190.0,43.0,25.0,Bowmore,0.0,0.0,0.0,0.0
Bowmore 12 Year Old Single Malt Scotch,94.0,Scotland,Islay,45.0,43.0,12.0,Bowmore,0.0,0.0,0.0,0.0
Wild Turkey Kentucky Spirit Bourbon,94.0,USA,Bourbon,42.0,50.5,2.0,Wild Turkey,0.0,0.0,0.0,0.0
Michael Collins 10 Year Old Single Malt Irish Whiskey,93.0,Ireland,Single Malt,39.0,44.438534798534796,10.0,Michael Collins,0.0,0.0,1.0,0.0
Glenfiddich 21 Year Old Single Malt Scotch,93.0,Scotland,Speyside,133.0,40.0,21.0,Glenfiddich,0.0,0.0,0.0,0.0
Wild Turkey Russel's Reserve Bourbon,93.0,USA,Bourbon,35.0,45.0,10.0,Wild Turkey,0.0,0.0,0.0,0.0
Four Roses Small Batch Kentucky Straight Bourbon Whiskey,93.0,USA,Bourbon,32.0,45.0,4.0,Four Roses,0.0,0.0,0.0,0.0
Redbreast 15 Year Old Irish Whiskey,92.0,Ireland,Pure Pot Still,67.0,46.0,15.0,Redbreast,0.0,0.0,0.0,0.0
Old Pulteney 17 Year Old Single Malt Scotch,92.0,Scotland,Highlands,94.0,46.0,17.0,Old Pulteney,0.0,0.0,0.0,0.0
Forty Creek Confederation Oak Canadian Whiskey,92.0,Canada,Blended,70.0,40.0,9.447272727272727,Forty Creek,0.0,0.0,0.0,1.0
Old Pulteney 12 Year Old Single Malt Scotch,92.0,Scotland,Highlands,40.0,40.0,12.0,Old Pulteney,0.0,0.0,0.0,0.0
Deanston 12 Year Old Single Malt Scotch,92.0,Scotland,Highlands,47.0,46.3,12.0,Deanston,0.0,0.0,0.0,0.0
Glenlivet 15 Year Old Single Malt Scotch,92.0,Scotland,Speyside,45.0,40.0,15.0,Glenlivet,0.0,0.0,0.0,0.0
Eagle Rare 17 Year Old Single Barrel Kentucky Straight Bourbon,92.0,USA,Bourbon,57.0,45.0,17.0,Eagle,0.0,0.0,0.0,0.0
Balblair Single Malt Scotch,92.0,Scotland,Highlands,109.0,43.0,17.0,Balblair,0.0,0.0,0.0,0.0
Laphroaig Quarter Cask Single Malt Scotch,92.0,Scotland,Islay,67.7032967032967,48.0,1.0,Laphroaig,0.0,1.0,0.0,0.0
Bushmills 16 Year Old Single Malt Irish Whiskey,91.0,Ireland,Single Malt,64.0,40.0,16.0,Bushmills,0.0,0.0,0.0,0.0
Midleton Very Rare Irish Whiskey,91.0,Ireland,Blended,132.0,40.0,25.0,Midleton,0.0,0.0,0.0,0.0
Isle of Jura Prophecy Scotch,91.0,Scotland,Islands,75.0,46.0,1.0,Isle of Jura,0.0,0.0,0.0,0.0
Glenrothes 1975 Single Malt Scotch,91.0,Scotland,Speyside,400.0,43.0,31.0,Glenrothes,0.0,0.0,0.0,0.0
Bushmills 21 Year Old Single Malt Irish Whiskey,91.0,Ireland,Single Malt,120.0,40.0,21.0,Bushmills,0.0,0.0,0.0,0.0
Amrut Indian Single Malt Whisky Cask Strength,91.0,India,Single Malt,50.0,61.8,1.0,Amrut,0.0,0.0,0.0,0.0
Jameson Rarest Reserve Whiskey,90.0,Ireland,Blended,256.0,46.0,18.0,Jameson,0.0,0.0,0.0,0.0
Highland Park 25-Year-Old Orkney Islands Single Malt Whisky,90.0,Scotland,Islands,240.0,48.1,25.0,Highland Park,0.0,0.0,0.0,0.0
Buchanan's Red Seal Blended Scotch,90.0,Scotland,Blended,140.0,40.0,1.0,Buchanan,0.0,0.0,0.0,0.0
Aberlour A'Bunadh Batch 21 Scotch,90.0,Scotland,Speyside,63.0,59.5,21.0,Aberlour,0.0,0.0,0.0,0.0
Glenfiddich 18 Year Old Single Malt Scotch,90.0,Scotland,Speyside,79.0,43.0,18.0,Glenfiddich,0.0,0.0,0.0,0.0
Macallan 15 Year Old Fine Oak Scotch,90.0,Scotland,Speyside,70.0,43.0,15.0,Macallan,0.0,0.0,0.0,0.0
Suntory Hakushu 12 Year Old Single Malt Whiskey,90.0,Japan,Single Malt,45.0,43.0,12.0,Suntory,0.0,0.0,0.0,0.0
Wild Turkey Rare Breed Bourbon,90.0,USA,Bourbon,37.0,44.438534798534796,1.0,Wild Turkey,0.0,0.0,1.0,0.0
Glenlivet 18 Year Old Single Malt Scotch Whisky,90.0,Scotland,Speyside,70.0,43.0,18.0,Glenlivet,0.0,0.0,0.0,0.0
Glenfiddich 15 Year Old Single Malt Scotch,90.0,Scotland,Speyside,55.0,40.0,15.0,Glenfiddich,0.0,0.0,0.0,0.0
Jefferson's Presidential Select,83.96739130434783,USA,Bourbon,90.0,47.0,17.0,Jefferson,1.0,0.0,0.0,0.0
Speyburn 10 Year Old Single Malt Scotch,90.0,Scotland,Speyside,29.0,43.0,10.0,Speyburn,0.0,0.0,0.0,0.0
Aberlour 16 Year Old Single Malt Scotch,89.0,Scotland,Speyside,65.0,43.0,16.0,Aberlour,0.0,0.0,0.0,0.0
The Singleton of Glendullan 12 Year Old Single Malt Scotch,89.0,Scotland,Speyside,35.0,40.0,12.0,Glendullan,0.0,0.0,0.0,0.0
"Whyte & Mackay ""Original"" 40 Year Old Aged Blended Scotch Whisky",89.0,Scotland,Blended,20.0,40.0,10.0,Whyte & Mackay,0.0,0.0,0.0,0.0
Dalmore 1974 Single Highland Malt Scotch Whisky,89.0,Scotland,Highlands,250.0,42.0,1.0,Dalmore,0.0,0.0,0.0,0.0
Chivas Regal 25 Year Old Scotch,89.0,Scotland,Blended,260.0,40.0,25.0,Chivas Regal,0.0,0.0,0.0,0.0
Jefferson's Select 18 Year Old Bourbon Whiskey,89.0,USA,Bourbon,90.0,47.0,18.0,Jefferson,0.0,0.0,0.0,0.0
Glenlivet XXV Single Malt Scotch Whisky,89.0,Scotland,Speyside,305.0,43.0,25.0,Glenlivet,0.0,0.0,0.0,0.0
Russell's Reserve 6 Year Old Straight Rye Whiskey,88.0,USA,Rye,27.0,45.0,6.0,Russell's,0.0,0.0,0.0,0.0
Balcones True Blue Cask Strength Corn Whiskey,88.0,USA,Corn,59.0,63.0,1.0,Balcones,0.0,0.0,0.0,0.0
Connemara Turf Mor Irish Whiskey,88.0,Ireland,Single Malt,75.0,58.0,1.0,Connemara,0.0,0.0,0.0,0.0
Downslope Double Diamond Whiskey,88.0,USA,Blended,32.0,40.0,1.0,Downslope,0.0,0.0,0.0,0.0
Forty Creek Double Barrel Canadian Whiskey,88.0,Canada,Blended,60.0,40.0,1.0,Forty Creek,0.0,0.0,0.0,0.0
Greenore 15 Year Old Single Malt Irish Whiskey,88.0,Ireland,Single Malt,100.0,43.0,15.0,Greenore,0.0,0.0,0.0,0.0
Hudson New York Corn Whiskey,88.0,USA,Corn,35.0,40.0,1.0,Hudson,0.0,0.0,0.0,0.0
Kansas Spirit Whiskey,88.0,USA,Unaged,30.0,40.0,0.0,Kansas Spirit,0.0,0.0,0.0,0.0
Kavalan Solist Fino Cast Strength Single Malt Whiskey,88.0,Taiwan,Single Malt,220.0,58.3,1.0,Kavalan,0.0,0.0,0.0,0.0
Kavalan Solist Sherry Single Malt Whisky,88.0,Taiwan,Single Malt,117.0,58.7,1.0,Kavalan,0.0,0.0,0.0,0.0
Leopold Bros. Maryland Style Rye Whiskey,88.0,USA,Rye,48.0,43.0,1.0,Leopold Bros.,0.0,0.0,0.0,0.0
Original Moonshine Corn Whiskey,88.0,USA,Corn,40.0,40.0,1.0,Stillhouse,0.0,0.0,0.0,0.0
OYO Soft Red Winter Wheat Whiskey Single Barrel,88.0,USA,Grain,45.0,46.0,1.0,Middle West,0.0,0.0,0.0,0.0
Pescadores Pumpkin Whisky,88.0,Taiwan,Flavored,25.0,42.0,1.0,Pescadores,0.0,0.0,0.0,0.0
Rogue Oregon Single Malt Whiskey,88.0,USA,Single Malt,48.0,40.0,1.0,Rogue,0.0,0.0,0.0,0.0
Smooth Ambler Exceptional White Whisky,88.0,USA,Unaged,28.0,50.0,0.0,Smooth Ambler,0.0,0.0,0.0,0.0
Highland Park 12 Year Old Orkneys Single Malt Whisky,88.0,Scotland,Islands,40.0,40.0,12.0,Highland Park,0.0,0.0,0.0,0.0
Longrow CV Campbeltown Single Malt Whisky,88.0,Scotland,Campbeltown,61.0,46.0,1.0,Longrow,0.0,0.0,0.0,0.0
Knob Creek 9 Year Old Single Barrel Reserve Bourbon Whiskey,88.0,USA,Bourbon,37.0,60.0,9.0,Knob creek,0.0,0.0,0.0,0.0
Breckenridge Bourbon Whiskey,88.0,USA,Bourbon,39.0,43.0,2.0,Breckenridge,0.0,0.0,0.0,0.0
Garrison Brothers Texas Straight Bourbon Whiskey,88.0,USA,Bourbon,75.0,44.438534798534796,1.0,Garrison Brothers,0.0,0.0,1.0,0.0
Old Forester Signature Kentucky Straight Bourbon Whiskey,88.0,USA,Bourbon,21.0,50.0,1.0,Old Forester,0.0,0.0,0.0,0.0
Balvenie Signature 12 Year Old Single Malt Scotch,88.0,Scotland,Speyside,53.0,43.0,12.0,Balvenie,0.0,0.0,0.0,0.0
Balvenie 17 Year Old Single Malt Scotch,88.0,Scotland,Speyside,128.0,43.0,17.0,Balvenie,0.0,0.0,0.0,0.0
Bulleit Bourbon Frontier Whiskey,88.0,USA,Bourbon,27.0,45.0,1.0,Bulleit,0.0,0.0,0.0,0.0
Woodford Reserve Distiller's Select Bourbon,88.0,USA,Bourbon,34.0,45.0,1.0,Woodford Reserve,0.0,0.0,0.0,0.0
Old Forester 12 Year Old Birthday Bourbon Whiskey,88.0,USA,Bourbon,50.0,47.0,12.0,Old Forester,0.0,0.0,0.0,0.0
Wild Turkey Bourbon Tradition 15 year,88.0,USA,Bourbon,125.0,50.0,15.0,Wild Turkey,0.0,0.0,0.0,0.0
George Dickel Tennessee Whiskey #12,87.0,USA,Corn,20.0,45.0,1.0,George Dickel,0.0,0.0,0.0,0.0
Jameson 12 Year Old Irish Whiskey,87.0,Ireland,Blended,50.0,40.0,12.0,Jameson,0.0,0.0,0.0,0.0
Elmer T Lee Bourbon Whiskey,87.0,USA,Bourbon,30.0,45.0,23.0,Elmer T Lee,0.0,0.0,0.0,0.0
Tyrconnell 10 Year Old Single Malt Sherry Cask Finish Irish Whiskey,87.0,Ireland,Single Malt,60.0,40.0,10.0,Tyrconnell,0.0,0.0,0.0,0.0
Ledaig 10 Year Old Single Malt Scotch,87.0,Scotland,Highlands,50.0,43.0,10.0,Ledaig,0.0,0.0,0.0,0.0
Blanton's Single Barrel Bourbon,87.0,USA,Bourbon,49.0,47.0,9.447272727272727,Blanton,0.0,0.0,0.0,1.0
Four Roses Single Barrel Kentucky Straight Bourbon,87.0,USA,Bourbon,53.0,50.0,10.0,Four Roses,0.0,0.0,0.0,0.0
Bowman Brothers Virginia Straight Bourbon Whiskey,87.0,USA,Bourbon,40.0,45.0,1.0,Bowman,0.0,0.0,0.0,0.0
Jameson Irish Whiskey Gold Reserve,86.0,Ireland,Blended,67.7032967032967,40.0,1.0,Jameson,0.0,1.0,0.0,0.0
John L. Sullivan Irish Whiskey,86.0,Ireland,Blended,24.0,40.0,1.0,John L. Sullivan,0.0,0.0,0.0,0.0
Tullamore Dew 10 Year Old Irish Reserve Whiskey,86.0,Ireland,Blended,60.0,40.0,10.0,Tullamore,0.0,0.0,0.0,0.0
Caol Ila 12 Year Old Single Malt Scotch,86.0,Scotland,Islay,43.0,43.0,12.0,Caol Ila,0.0,0.0,0.0,0.0
Yamazaki Single Malt 12-Year Whisky,86.0,Japan,Single Malt,43.0,43.0,12.0,Yamazaki,0.0,0.0,0.0,0.0
Jim Beam Black Bourbon,86.0,USA,Bourbon,20.0,43.0,8.0,Jim Beam,0.0,0.0,0.0,0.0
Buffalo Trace Kentucky Straight Bourbon Whiskey,86.0,USA,Bourbon,24.0,45.0,1.0,Buffalo Trace,0.0,0.0,0.0,0.0
Old Parr 12 Year Old Blended Scotch,83.96739130434783,Scotland,Blended,40.0,40.0,12.0,Old Parr,1.0,0.0,0.0,0.0
Balvenie 15 Year Old Single Barrel Single Malt Scotch,86.0,Scotland,Speyside,49.0,47.8,15.0,Balvenie,0.0,0.0,0.0,0.0
High West Double Rye Whiskey,85.0,USA,Rye,34.0,46.0,1.0,High West,0.0,0.0,0.0,0.0
Lagavulin 16 Scotch,85.0,Scotland,Islay,67.7032967032967,43.0,16.0,Lagavulin,0.0,1.0,0.0,0.0
Auchentoshan 18-Year Old Single Malt Scotch Whisky,85.0,Scotland,Lowlands,98.0,54.7,18.0,Auchentoshan,0.0,0.0,0.0,0.0
Amrut Fusion Single Malt Whisky,85.0,India,Single Malt,65.0,50.0,1.0,Amrut,0.0,0.0,0.0,0.0
Black Maple Hill 23 Year Old Limited Edition Kentucky Straight Rye Whiskey,85.0,USA,Rye,100.0,47.5,23.0,Black Maple Hill,0.0,0.0,0.0,0.0
Bushmills 10 Year Old Single Malt Irish Whiskey,85.0,Ireland,Single Malt,39.0,40.0,10.0,Bushmills,0.0,0.0,0.0,0.0
Springbank 15 Year Old Campbeltown Single Malt Scotch Whisky,85.0,Scotland,Campbeltown,95.0,46.0,15.0,Springbank,0.0,0.0,0.0,0.0
Cedar Ridge Distillery Iowa Bourbon Whiskey,85.0,USA,Bourbon,36.0,40.0,1.0,Cedar Ridge,0.0,0.0,0.0,0.0
Powers Gold Label Irish Whiskey,84.0,Ireland,Blended,25.0,40.0,12.0,Powers,0.0,0.0,0.0,0.0
Laphroaig 10 Year Old Single Malt Scotch Whisky,84.0,Scotland,Islay,47.0,44.438534798534796,10.0,Laphroaig,0.0,0.0,1.0,0.0
Johnnie Walker Blue Label Scotch Whisky,84.0,Scotland,Blended,199.0,40.0,12.0,Johnnie Walker,0.0,0.0,0.0,0.0
Kilbeggan 15 Year Old Finest Irish Whiskey,84.0,Ireland,Blended,100.0,40.0,15.0,Kilbeggan,0.0,0.0,0.0,0.0
Tullamore Dew 12 Year Old Irish Special Reserve Whiskey,84.0,Ireland,Blended,43.0,40.0,12.0,Tullamore,0.0,0.0,0.0,0.0
Balvenie Portwood 21 Year Old Single Malt Scotch Whisky,84.0,Scotland,Speyside,160.0,43.0,21.0,Balvenie,0.0,0.0,0.0,0.0
1972 Ridgemont Reserve Kentucky Straight Bourbon Whiskey,83.0,USA,Bourbon,28.0,46.0,1.0,Ridgemont Reserve,0.0,0.0,0.0,0.0
Tyrconnell Single Malt Irish Whiskey,83.0,Ireland,Single Malt,33.0,40.0,1.0,Tyrconnell,0.0,0.0,0.0,0.0
"Dalmore ""1263 King Alexander the Third"" Single Highland Malt Scotch",83.0,Scotland,Highlands,246.0,40.0,1.0,Dalmore,0.0,0.0,0.0,0.0
Hudson Four Grain Bourbon,83.0,USA,Bourbon,42.0,46.0,1.0,Hudson,0.0,0.0,0.0,0.0
Forty Creek Port Wood Reserve Whiskey,83.0,Canada,Blended,70.0,45.0,1.0,Forty Creek,0.0,0.0,0.0,0.0
Maker's Mark Bourbon 46,83.0,USA,Bourbon,35.0,47.0,1.0,Maker's Mark,0.0,0.0,0.0,0.0
Oban 14 Year Old Single Malt Scotch,83.0,Scotland,Highlands,65.0,43.0,9.447272727272727,Oban,0.0,0.0,0.0,1.0
"Laphroaig 10 Year Old ""Cast Strength"" Islay Single Malt Scotch Whisky",83.0,Scotland,Islay,60.0,43.0,10.0,Laphroaig,0.0,0.0,0.0,0.0
Buffalo Trace White Dog Mash #1 Corn Whiskey,82.0,USA,Corn,16.0,62.5,1.0,Buffalo Trace,0.0,0.0,0.0,0.0
Kavalan Concert Master Single Malt Whiskey,82.0,Taiwan,Single Malt,50.0,40.0,1.0,Kavalan,0.0,0.0,0.0,0.0
Kavalan Single Malt Whiskey,82.0,Taiwan,Single Malt,70.0,40.0,1.0,Kavalan,0.0,0.0,0.0,0.0
Old Parr Superior 18 Year Old Blended Scotch Whisky,82.0,Scotland,Blended,100.0,43.0,18.0,Old Parr,0.0,0.0,0.0,0.0
Charter 101 Kentucky Straight Bourbon Whiskey,82.0,USA,Bourbon,19.0,50.0,1.0,Charter,0.0,0.0,0.0,0.0
George Dickel Tennessee Whisky #8,82.0,USA,Corn,17.0,40.0,1.0,George Dickel,0.0,0.0,0.0,0.0
High West Rocky Mountain Rye 21 Year Old Whiskey,82.0,USA,Rye,133.0,53.0,21.0,High West,0.0,0.0,0.0,0.0
Glenrothes 1985 Single Malt Scotch Whisky,82.0,Scotland,Speyside,100.0,43.0,19.0,Glenrothes,0.0,0.0,0.0,0.0
Four Roses Yellow Label Straight Bourbon,81.0,USA,Bourbon,20.0,40.0,1.0,Four Roses,0.0,0.0,0.0,0.0
Hudson Single Malt Whiskey,81.0,USA,Single Malt,43.0,46.0,1.0,Hudson,0.0,0.0,0.0,0.0
Balblair 1997 Highland Single Malt Scotch Whisky,81.0,Scotland,Highlands,58.0,43.0,1.0,Balblair,0.0,0.0,0.0,0.0
Barton Irish Whiskey,81.0,Ireland,Blended,20.0,40.0,1.0,Barton,0.0,0.0,0.0,0.0
Corsair Pumpkin Spice Moonshine,81.0,USA,Flavored,35.0,42.5,1.0,Corsair,0.0,0.0,0.0,0.0
Kavalan Solist Ex-Bourbon Single Malt Whisky,81.0,Taiwan,Single Malt,100.0,58.2,1.0,Kavalan,0.0,0.0,0.0,0.0
Mickey Finn Irish Whiskey,81.0,Ireland,Flavored,25.0,40.0,1.0,Mickey Finn,0.0,0.0,0.0,0.0
P & M Blended Whisky,83.96739130434783,France,Blended,40.0,40.0,1.0,P & M,1.0,0.0,0.0,0.0
P & M Single Malt Whisky,81.0,France,Single Malt,60.0,42.0,1.0,P & M,0.0,0.0,0.0,0.0
Prince Edward Canadian Rye,81.0,Canada,Rye,55.0,41.0,1.0,Price Edward,0.0,0.0,0.0,0.0
Jim Beam Red Stag Black Cherry Flavored Whiskey,81.0,USA,Flavored,18.0,40.0,4.0,Jim Beam,0.0,0.0,0.0,0.0
Seagram's 7 Crown Dark Honey Whiskey,81.0,USA,Flavored,17.0,35.5,7.0,Seagram's,0.0,0.0,0.0,0.0
Tullamore Dew 10 Year Old Single Malt Irish Whiskey,81.0,Ireland,Single Malt,69.0,40.0,10.0,Tullamore,0.0,0.0,0.0,0.0
Wolfhound Irish Whiskey,81.0,Ireland,Blended,25.0,40.0,1.0,Wolfhound,0.0,0.0,0.0,0.0
