random_constant_ticker,ticker,Open,ROE,52-Week Change,Beta,PE Ratio,EPS,Avg. Volume,Beta_impute,Open_impute,52-Week Change_impute,Avg. Volume_impute,PE Ratio_impute,ROE_impute,EPS_impute
MUV,WMT,116.54,17.51,21.1,0.65,26.14,4.42,5652846,0,0,0,0,0,0,0
QVI,LUV,54.39,24.06,-11.48,1.74,12.96,4.31,3552115,0,0,0,0,0,0,0
ZVN,INTC,51.9,27.24,13.23,0.7,12.13,4.3,3865301.753,0,0,0,1,0,0,0
CCL,YUM,110.48,64.66253068,25.2,0.41,26.33,4.2,1436361,0,0,0,0,0,1,0
YSR,ED,89.89,8.29,12.3,0.18,21.43,4.2,1610698,0,0,0,0,0,0,0
UGS,XOM,75.04,9.41,-11.84,1.272949073,17.79,4.15,10744490,1,0,0,0,0,0,0
RTI,ZION,44.45,11.3,-12.29,1.52,10.88,4.15,2364149,0,0,0,0,0,0,0
YWF,AFL,51.53,11.97,9.84,0.51,12.62,4.1,3281522,0,0,0,0,0,0,0
CRH,DOV,99.05,21.36,11.78,1.73,24.28,4.09,913026,0,0,0,0,0,0,0
WYX,BR,123.4,43.4,-7.75,0.68,30.75,4.06,645793,0,0,0,0,0,0,0
QJW,BBT,52.52,10.8,5.71,1.22,13.07,4.04,4476719,0,0,0,0,0,0,0
CRM,BK,46.38,9.48,-9.14,1.05,12.13,3.85,5003141,0,0,0,0,0,0,0
DQM,RHI,56.42,40.85,-20.74,1.42,15.03,3.8,1300855,0,0,0,0,0,0,0
FMV,CTXS,95.66,92.36,-12.82,0.72,25.89,3.72,2039308.076,0,0,0,1,0,0,0
QHY,FMC,91.04,24.98,22.04,1.17,24.65,3.69,898749,0,0,0,0,0,0,0
NFK,CVS,63.3,8.9,-21.88411308,1,17.39,3.65,8171668,0,0,1,0,0,0,0
QHF,IFF,126.26,8.94,-11.73,0.54,36.61,3.34,1146365,0,0,0,0,0,0,0
SBP,A,77.32,23.02,11.93,1.28,23.07,3.34,2564639,0,0,0,0,0,0,0
NDS,PHM,35.21,19.49,30.25,0.49,10.68,3.29,3557887,0,0,0,0,0,0,0
APQ,SYY,77.95,51.47116087,5.67,0.61,24.12,3.2,2675119,0,0,0,0,0,1,0
DSY,JWN,34.29,51.82,-44.47,0.69,11.74,3.03,5290293,0,0,0,0,0,0,0
CZK,GIS,53.7,23.52,23.59,0.9,18.8,2.9,3954166,0,0,0,0,0,0,0
DNK,PEG,60.82,10.13,14.52,0.887049851,21.13,2.88,2271684,1,0,0,0,0,0,0
CRI,QCOM,77.58,24.3,4.44,1.51,28.61,2.73,10720426,0,0,0,0,0,0,0
QAD,HLT,95.06,301.3,17.97,0.92,34.48,2.71,1945236,0,0,0,0,0,0,0
OYY,BEN,29.56,11.63,-6.07,1.08,10.95,2.71,2259531.166,0,0,0,1,0,0,0
XMI,UN,59.77,76.18,5.9,0.35,23.57,2.53,1081044,0,0,0,0,0,0,0
BLH,KBH,30.21,12.74,-6.14864221,1.18,12.02,2.52,1667015,0,0,1,0,0,0,0
MRW,K,63.4,26.54,-13.06,0.77,11.66297396,2.49,2661749,0,0,0,0,1,0,0
RGQ,GPS,18.96,26.91,-31.27,0.78,7.56,2.45,7081280,0,0,0,0,0,0,0
TCN,ADM,41.43,7.01,-15.44,1.02,18.05,2.32,3719922,0,0,0,0,0,0,0
OGS,HI,31.25,19.56,-39.43,1.34,15.44023682,2.22,737787,0,0,0,0,1,0,0
NIU,PFE,36.46,19.49,-15.35,0.43,17.01,2.16,25785811,0,0,0,0,0,0,0
ZEF,KR,26.1,20.12,-11.3,0.76,12.92,2.01,10663955,0,0,0,0,0,0,0
OJC,MTG,12.63,17.94,0.85,1.4,7.29,3.150608247,4589215,0,0,0,0,0,0,1
MQR,ABT,83.91,9.21,-16.67826842,0.81,51.24,1.63,4935190,0,0,1,0,0,0,0
AGM,BLL,72.76,13.81,60.73,0.52,47.47,1.53,2258044,0,0,0,0,0,0,0
WRZ,SUN,31.81,24.31,11.09,0.90143632,20.39,1.53,283611,1,0,0,0,0,0,0
GSU,G,39.23,19.95,-8.48613338,1.06,26.62,1.48,1223973,0,0,1,0,0,0,0
XHN,SLM,9.22,19.22,-18.03,1.69,7.67,2.478390063,3241073,0,0,0,0,0,0,1
HWZ,CPB,46.07,38.15,16.67,0.79,66.82,0.7,2234634,0,0,0,0,0,0,0
BRW,AES,15.84,17.04505586,16.36,0.72,26.62,0.6,4943719,0,0,0,0,0,1,0
VNQ,F,9.36,6.09,-2.92,0.97,13.92340547,0.54,36603920,0,0,0,0,1,0,0
NQE,AM,7.65,2.779926025,-54.63,1.24,19.33,0.4,6568796,0,0,0,0,0,1,0
ZUV,NI,29.18,2.88,12.04,0.31,87.18,0.33,2997801,0,0,0,0,0,0,0
JIN,ODP,1.67,1.46,-48.8,2.32,29.82,0.057,5387124.919,0,0,0,1,0,0,0
