Name,Rating,Country,Category,Price,ABV,Age,Brand,rate_impute,price_impute,abv_impute,age_impute
Crown Royal Canadian Whisky,68,Canada,Blended,25,40,1,Crown Royal,0,0,0,0
Wiser's 18 Year Old Canadian Whisky,67,Canada,Blended,65,40,18,Wiser's,0,0,0,0
Dalwhinnie 15 Year Old Single Malt Scotch,67,Scotland,Highlands,50,43,15,Dalwhinnie,0,0,0,0
Black Velvet Reserve Canadian Whiskey,67,Canada,Blended,14,40,8,Black Velvet,0,0,0,0
Forty Creek John K. Hall Small Batch Reserve Whisky,67,Canada,Blended,60,40,5.520914651,Forty Creek,0,0,0,1
Templeton Rye Whiskey,67,USA,Rye,35,40,4,Templeton,0,0,0,0
Bushmills Original Irish Whiskey,65,Ireland,Blended,24,40,1,Bushmills,0,0,0,0
Jameson Irish Whiskey,65,Ireland,Blended,25,40,1,Jameson,0,0,0,0
Texas Crown Club Canadian Whisky,64,Canada,Blended,22,40,4,Texas Crown,0,0,0,0
Feckin Irish Whiskey,64,Ireland,Blended,20,40,1,Feckin,0,0,0,0
8 Seconds Canadian Whiskey,64,Canada,Blended,30,40,1,8 Seconds,0,0,0,0
Early Times 354 Bourbon,63.66666667,USA,Bourbon,16,40,1,Early Times,1,0,0,0
Wiser's Small Batch Canadian Whisky,60,Canada,Rye,29,43,1,Wiser's,0,0,0,0
Danfield's Private Reserve Small Batch Canaidan Whiskey,60,Canada,Blended,62.66666667,40,1,Danfield,0,1,0,0
Johnnie Walker Red Label Whisky,58,Scotland,Blended,30,40,1,Johnnie Walker,0,0,0,0
Jim Beam Straight Rye Whiskey,57,USA,Rye,15,51,5.886578791,Jim Beam,0,0,0,1
Catoctin Creek Organic Roundstone Rye Whisky,57,USA,Rye,38,40,1,Catoctin Creek,0,0,0,0
Canadian Club Reserve Canadian Whisky,56,Canada,Blended,16,40,10,Canadian Club,0,0,0,0
Pendleton Blended Canadian Whisky,56,Canada,Blended,26,43.8709694,1,Hood River,0,0,1,0
Jack Daniel's No. 7 Whiskey,54,USA,Blended,20,40,7,Jack Daniel's,0,0,0,0
Ellington Canadian Whisky,54,Canada,Blended,11,40,1,Ellington,0,0,0,0
Origine Irish Whiskey,54,Ireland,Blended,17,40,1,Origine,0,0,0,0
Canadian Club 6 Year Old Canadian Whisky,53,Canada,Blended,12,43.24589803,6,Canadian Club,0,0,1,0
Slane Castle Irish Whiskey,50,Ireland,Blended,25,40,1,Slane Castle,0,0,1,0
Canadian Mist Blended Canadian Whisky,48,Canada,Blended,12,40,1,Canadian Mist,0,0,0,1
Rich & Rare Canadian Whisky,47,Canada,Blended,10,40,1,Rich & Rare,0,0,0,0
Kellan Irish Whiskey,47,Ireland,Blended,20,40,1,Kellan,0,0,0,0
Canadian LTD Blended Canadian Whiskey,43,Canada,Blended,10,40,1,Canadian LTD,1,0,0,0
McAdams Canadian Whisky,40,Canada,Blended,8,40,1,McAdams,1,0,0,0
Canadian Hunter Canadian Whisky,40,Canada,Blended,62.66666667,40,1,Canadian Hunter,0,1,0,0
