name,ticker,beta,currprice,pctchg52wks,avgvol,peratio,roe,marketcap,eps,beta_impute,currprice_impute,pctchg52wks_impute,avgvol_impute,peratio_impute,roe_impute,marketcap_impute,eps_impute
Costco Wholesale Corp.,COST,1.13,38.46,11.27,3.188,29.81,13.54,17342.5,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Winn-Dixie Stores, Inc.",WIN,0.51,11.01,-43.36,0.4,26.59,7.35,1547.533,0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon Energy Corporation,DVN,0.77,40.71,-17.92,1.255,5.74,28.32,5128.809,7.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cendant Corporation,CD,1.82,13.41,12.93,7.125,13.38,24.96,13067.16,1.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Darden Restaurants, Inc.",DRI,0.38,30.97,38.41,0.493,18.85,19.88,3609.492,1.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burlington Nrth./Santa Fe,BNI,0.5446875755715956,26.42,-9.97136830435957,1.006,12.72,10.74,10333.92,2.077,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Consolidated Edison, Inc.",ED,-0.03,39.76,12.59,0.418,14.03,11.01,8437.311,2.8339999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Occidental Petroleum Corp,OXY,0.61,26.0,29.19,1.08,5.51,35.16,9706.32,4.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altera Corp.,ALTR,2.01,20.5,-44.6,8.533999999999999,42.8,16.21,7912.303000000001,0.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coca-Cola Enterprises,CCE,0.81,18.8,3.01,1.4569999999999999,118.99,2.41,8364.684000000001,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"New York Times Co., The",NYT,0.68,41.26,14.61,0.5429999999999999,25.42,20.81,6475.84,1.6230000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Comverse Technology, Inc.",CMVT,1.69,17.77,-83.59,7.886,13.05,19.9,3296.175,1.3619999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northrop Grumman Corp.,NOC,0.23,102.3,25.71,1.851,17.1,11.14,8734.374,5.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VF Corporation,VFC,0.68,33.76,24.75,0.364,14.97,11.43,3746.347,2.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sears, Roebuck & Co.",S,0.64,39.18,31.92,2.384,19.15,10.73,12722.57,2.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enron Corp.,ENE,0.96,13.81,-82.89,28.235,104.62,1.82,10355.53,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USX-Marathon Group,MRO,0.89,28.3,4.33,1.3459999999999999,9.0,18.28,8742.153,3.1439999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mirant Corporation,MIR,0.7101685909301466,26.8,1.37,2.362,15.52,15.52,9122.184000000001,1.7269999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calpine Corporation,CPN,0.79,25.71,-36.57,4.829,13.56,27.43,7841.19,1.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Allergan, Inc.",AGN,0.38,74.02,-13.05,1.1840000000000002,47.82,23.72,9778.856,1.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danaher Corporation,DHR,1.11,57.08,-4.27,2.267,24.0,17.35,8157.988,2.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Biogen, Inc.",BGEN,0.72,54.77,-5.36,3.07,29.35,24.2,8135.4259999999995,1.8659999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
King Pharmaceuticals,KG,0.53,37.0,15.37,2.375,36.49,23.17,8488.873,1.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Masco Corporation,MAS,0.87,20.4,-7.853173891936925,1.177,19.3,13.71,9388.06,1.057,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Circuit City Group,CC,2.13,13.58,10.29,1.493,53.68,2.38,2828.958,0.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Teradyne, Inc.",TER,2.27,22.2,-23.61,4.966,102.78,2.44,4011.8059999999996,0.21600000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk Southern Corp.,NSC,0.58,16.63,22.06,1.166,25.62,4.28,6407.971,0.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schlumberger Ltd.,SLB,1.05,51.6,-31.99,3.653,52.23,6.99,29612.31,0.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rowan Companies, Inc.",RDC,1.58,18.2,-25.53,1.6469999999999998,15.33,10.53,1719.9,1.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT&T Corporation,T,0.92,15.77,-30.3,17.033,52.8336013054256,-4.67,55715.09,-1.4169999999999998,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Amgen, Inc.",AMGN,0.76,57.13,5.55,9.9,53.1,25.33,59730.04,1.0759999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
National Semiconductor,NSM,1.03,26.01,8.09,1.929,128.76,2.6,4575.497,0.20199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KeyCorp,KEY,0.61,21.87,-11.64,1.3359999999999999,15.8,9.08,9298.971,1.3840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synovus Financial Corp.,SNV,1.0,23.67,9.14,0.5820000000000001,23.0,20.72,6880.964,1.0290000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allegheny Technologies,ATI,0.9,15.35,-23.25,0.276,47.52,2.53,1232.605,0.32299999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Millipore Corporation,MIL,0.76,52.3,2.17,0.47,32.79,24.76,2490.944,1.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
